Question_Title,Question_ID,Author_Name,Author_ID,Author_Rep,Question_Post_Time,Question_Score,Number_Of_Views,Number_Of_Answers,Number_Of_Comments,Edited,Answer_Accepted,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,Question_Closed
Why is f natural used in m. 8 of J.S. Bach's Sinfonia in C Major (BWV 787)?,127624,Aaron,70803,69.8k,2023-02-22 11:53:19Z,N/A,N/A,3,,False,True,5,harmony,polyphony,harmony,polyphony,False
Cessna 208B Caravan various emergencies,97720,leha007,50593,773,2023-02-20 18:52:05Z,N/A,N/A,2,,False,True,5,emergency-procedures,engine-failure,turboprop,cessna-208,False
Why did only 31 engines ignite during Starship's static fire?,61898,N/A,N/A,N/A,2023-02-22 12:25:09Z,N/A,N/A,4,,False,True,5,rockets,spacex-starship,failure,spacex-super-heavy,False
"Do you know synonyms of ""so-called""?",333102,N/A,N/A,N/A,2023-02-19 15:08:07Z,N/A,N/A,7,,False,True,5,synonyms,synonyms,N/A,N/A,False
How do you mount conduit to a wall so that it stands off a standard box distance?,267437,KJ7LNW,125972,961,2023-02-22 01:23:05Z,N/A,N/A,5,,False,True,5,electrical,conduit,junction-box,support,False
Givens rotation: What is the Mathematica equivalent to MATLAB's planerot function?,280357,N/A,N/A,N/A,2023-02-22 12:11:35Z,N/A,N/A,2,,False,True,5,matrix,linear-algebra,matlab,rotation,False
Exporting points in specific order along a pathline using QGIS,452572,Vince,21577,19.4k,2023-02-21 16:53:19Z,N/A,N/A,2,,False,True,5,qgis,line,export,csv,False
"Slack culture in fully remote workplace - send ""Hello"" before asking a question?",190110,sleske,57,11.8k,2023-02-20 11:35:40Z,N/A,N/A,13,,False,True,5,slack,slack,N/A,N/A,False
"Has Fox news, or any of the major personalities on it, addressed the revelations from the Dominion trial?",78372,CDJB,28994,95.4k,2023-02-22 13:35:28Z,N/A,N/A,1,,False,True,5,united-states,media,united-states,media,False
What is the maximum voltage of an AAA battery?,654891,ocrdu,238706,8112,2023-02-21 07:05:05Z,N/A,N/A,7,,False,True,5,microcontroller,batteries,low-power,microcontroller,False
"Is there a ""statute of limitations"" on plagiarism? After being accused in one course, can my work in past courses be re-examined?",193630,cag51,79875,60k,2023-02-22 03:15:16Z,N/A,N/A,7,,False,True,5,plagiarism,plagiarism,N/A,N/A,False
Are deity/god names protected by copyright or trademark?,64590,Anduin Wrynn,57758,123,2023-02-19 21:53:27Z,N/A,N/A,4,,False,True,5,legal,legal,N/A,N/A,False
Are congressional investigations ever more than political theater? How often does one actually lead to actionable results?,78374,Peter Mortensen,368,311,2023-02-21 21:18:29Z,N/A,N/A,3,,False,True,5,united-states,congress,united-states,congress,False
Is it appropriate to ask an interviewing institution to reimburse nonrefundable hotel costs after flight cancellation?,193648,Bryan Krause,63475,83.9k,2023-02-21 17:03:26Z,N/A,N/A,2,,False,True,5,united-states,job,faculty-application,tenure-track,False
"When citing your advisor's past work, how can I proceed when their papers are poorly written?",193605,Peter Mortensen,473,746,2023-02-20 14:59:09Z,N/A,N/A,5,,False,True,5,advisor,formatting,proofreading,advisor,False
How did the Magic (Kishuf) applied on the Tanaim?,133368,Avi,11954,827,2023-02-22 08:55:18Z,N/A,N/A,1,,False,True,5,talmud-gemara,agada-stories-legends,sorcery-magic-kishuf,talmud-gemara,False
"What is ""Galacian tobacco"" and what is its significance?",24130,EJoshuaS - Stand with Ukraine,793,16.1k,2023-02-19 20:51:45Z,N/A,N/A,3,,False,True,5,historical-context,ukrainian-language,maria-matios,sweet-darusya,False
What fluid was the Rebel ground crew pumping into the starfighters?,272370,N/A,N/A,N/A,2023-02-22 05:22:28Z,N/A,N/A,2,,False,True,5,star-wars,a-new-hope,object-identification,star-wars,False
Is there a law against destroying works of art of historic importance when you are the owner?,89438,Rick,35069,30.5k,2023-02-20 09:28:42Z,N/A,N/A,7,,False,True,5,ownership,vandalism,british-columbia,japan,False
How does the parallel axis theorem explain the opening of a door?,751158,ACB,305718,2518,2023-02-21 13:43:34Z,N/A,N/A,4,,False,True,5,newtonian-mechanics,rotational-dynamics,reference-frames,rigid-body-dynamics,False
"How do I help my player, play a cool character?",204828,N/A,N/A,N/A,2023-02-22 17:49:13Z,N/A,N/A,5,,False,True,5,roleplaying,roleplaying,N/A,N/A,False
Linux text editor that supports column manipulations/selections (like Notepad++ for Windows),85378,RockPaperLz- Mask it or Casket,8503,6381,2023-02-21 18:48:18Z,N/A,N/A,4,,False,True,5,gratis,linux,text-editor,text-processing,False
"Do model training pipeline should run on dev, staging and production environment?",118673,N/A,N/A,N/A,2023-02-22 12:12:39Z,N/A,N/A,2,,False,True,5,machine-learning,python,training,data-science-model,False
"Do you know synonyms of ""so-called""?",333102,N/A,N/A,N/A,2023-02-19 15:08:07Z,N/A,N/A,7,,False,True,5,synonyms,synonyms,N/A,N/A,False
Tool Identity and Use,267390,jlaurenza,163348,91,2023-02-21 15:12:26Z,N/A,N/A,2,,False,True,5,wiring,hand-tools,sheet-metal,crimp,False
How do you mount conduit to a wall so that it stands off a standard box distance?,267437,KJ7LNW,125972,961,2023-02-22 01:23:05Z,N/A,N/A,5,,False,True,5,electrical,conduit,junction-box,support,False
Employer Side Social Security Overpayment,155383,Lloyd Banks,50389,613,2023-02-21 06:27:15Z,N/A,N/A,1,,False,True,5,united-states,social-security,employer,united-states,False
Do non-tonal languages evolve into tonal languages?,46145,releseabe,30776,497,2023-02-19 08:50:45Z,N/A,N/A,5,,False,True,5,english,tone,mandarin,english,False
Using a Client and Server secret to double salt a hash,268597,Rohit Gupta,187989,189,2023-02-22 11:54:25Z,N/A,N/A,4,,False,True,5,cryptography,hash,salt,cryptography,False
How can I define the technology level?,242293,N/A,N/A,N/A,2023-02-22 07:41:27Z,N/A,N/A,9,,False,True,5,technological-development,technological-development,N/A,N/A,False
What fluid was the Rebel ground crew pumping into the starfighters?,272370,N/A,N/A,N/A,2023-02-22 05:22:28Z,N/A,N/A,2,,False,True,5,star-wars,a-new-hope,object-identification,star-wars,False
How do you mount conduit to a wall so that it stands off a standard box distance?,267437,KJ7LNW,125972,961,2023-02-22 01:23:05Z,N/A,N/A,5,,False,True,5,electrical,conduit,junction-box,support,False
How to reduce query size with many repeated UNION subqueries?,323884,Erwin Brandstetter,3684,162k,2023-02-22 13:46:39Z,N/A,N/A,1,,False,True,5,postgresql,query-performance,execution-plan,postgresql-performance,False
Is it ok to front suspended tow a 2017 Dacia Duster 1.5dci 4wd?,91171,Pᴀᴜʟsᴛᴇʀ2,4152,146k,2023-02-22 13:27:35Z,N/A,N/A,1,,False,True,5,towing,4wd,dacia-duster,towing,False
A Fine sequence with fine interpretations,258110,Parcly Taxel,110698,1931,2023-02-22 00:06:16Z,N/A,N/A,12,,False,True,5,sequence,code-golf,code-golf,sequence,False
"The beginning words in Andrew's Brain by E. L. Doctorow: ""I CAN TELL you""",24163,Rand al'Thor,17,67.4k,2023-02-22 06:54:57Z,N/A,N/A,1,,False,True,5,orthography,andrews-brain,e-l-doctorow,orthography,False
"Is prefix ""In"" used for creating opposite meaning?",603723,fev,407211,25k,2023-02-22 08:25:10Z,N/A,N/A,1,,False,True,5,etymology,prefixes,etymology,prefixes,False
"What is ""Galacian tobacco"" and what is its significance?",24130,EJoshuaS - Stand with Ukraine,793,16.1k,2023-02-19 20:51:45Z,N/A,N/A,3,,False,True,5,historical-context,ukrainian-language,maria-matios,sweet-darusya,False
How did the Magic (Kishuf) applied on the Tanaim?,133368,Avi,11954,827,2023-02-22 08:55:18Z,N/A,N/A,1,,False,True,5,talmud-gemara,agada-stories-legends,sorcery-magic-kishuf,talmud-gemara,False
"Does philosophy rely on intuitions? If so, does this mean all of philosophy is nothing more than hunches?",97247,J D,40730,13.8k,2023-02-22 06:32:37Z,N/A,N/A,4,,False,True,5,epistemology,metaphilosophy,rationality,introduction-to-philosophy,False
Do non-tonal languages evolve into tonal languages?,46145,releseabe,30776,497,2023-02-19 08:50:45Z,N/A,N/A,5,,False,True,5,english,tone,mandarin,english,False
Givens rotation: What is the Mathematica equivalent to MATLAB's planerot function?,280357,N/A,N/A,N/A,2023-02-22 12:11:35Z,N/A,N/A,2,,False,True,5,matrix,linear-algebra,matlab,rotation,False
What does 観してもらう mean here?,98670,Jimmy Yang,41067,2072,2023-02-22 03:35:44Z,N/A,N/A,1,,False,True,5,grammar,dialects,kansai-ben,grammar,False
Is it possible to expand voting right by ordinary legislation provided that there is no explicit constitutional restriction?,78350,QuantumWalnut,28067,8152,2023-02-20 02:57:25Z,N/A,N/A,6,,False,True,5,constitution,voting,legislation,united-kingdom,False
Exporting points in specific order along a pathline using QGIS,452572,Vince,21577,19.4k,2023-02-21 16:53:19Z,N/A,N/A,2,,False,True,5,qgis,line,export,csv,False
Are the irrotational and solenoidal parts of a smooth vector field linearly independent?,441334,Zade Johnston,319534,103,2023-02-22 09:22:46Z,N/A,N/A,1,,False,True,5,sequences-and-series,alternative-proof,wave-equation,periodic-functions,False
Why was a uranium bomb dropped on Hiroshima?,71047,WillO,48839,217,2023-02-21 23:22:01Z,N/A,N/A,1,,False,True,5,world-war-two,nuclear-weapons,hiroshima,world-war-two,False
Using a Client and Server secret to double salt a hash,268597,Rohit Gupta,187989,189,2023-02-22 11:54:25Z,N/A,N/A,4,,False,True,5,cryptography,hash,salt,cryptography,False
Can you cut the outlet-bridge clip and run a 2-phase MWBC to a single receptacle?,267440,N/A,N/A,N/A,2023-02-22 02:28:48Z,N/A,N/A,2,,False,True,5,electrical,wiring,receptacle,mwbc,False
How was David Carradine in The American Connection (2021)?,119611,rtaft,19941,1254,2023-02-19 23:28:12Z,N/A,N/A,1,,False,True,5,american-connection,david-carradine,american-connection,david-carradine,False
"Slack culture in fully remote workplace - send ""Hello"" before asking a question?",190110,sleske,57,11.8k,2023-02-20 11:35:40Z,N/A,N/A,13,,False,True,5,slack,slack,N/A,N/A,False
What is the maximum voltage of an AAA battery?,654891,ocrdu,238706,8112,2023-02-21 07:05:05Z,N/A,N/A,7,,False,True,5,microcontroller,batteries,low-power,microcontroller,False
ited-states,congress,united-states,congress,False
How do you mount conduit to a wall so that it stands off a standard box distance?,267437,KJ7LNW,125972,1025,2023-02-22 01:23:05Z,N/A,N/A,5,,False,True,5,electrical,conduit,junction-box,support,False
Lord of The Simulation,119862,N/A,N/A,N/A,2023-02-22 20:54:49Z,N/A,N/A,1,,False,True,5,mathematics,knowledge,enigmatic-puzzle,mathematics,False
Why were the lies of George Santos discovered only after the elections?,78368,Machavity,12027,42.2k,2023-02-22 04:39:17Z,N/A,N/A,4,,False,True,5,united-states,scandal,united-states,scandal,False
Elevator movement order,258137,Dominic van Essen,95126,29.1k,2023-02-23 10:37:55Z,N/A,N/A,10,,False,True,5,code-golf,code-golf,code-golf,N/A,False
How do UK universities retain academic staff?,193700,Anyon,17254,20.4k,2023-02-22 22:52:09Z,N/A,N/A,3,,False,True,5,united-kingdom,salary,recruiting,non-academic-staff,False
"Stepwise binary logistic regression, Forward or Backward?",606316,kjetil b halvorsen,11887,70.4k,2023-02-23 02:02:30Z,N/A,N/A,2,,False,True,5,r,regression,logistic,stepwise-regression,False
Forward bias voltage of diode,655076,JRE,47070,65.3k,2023-02-22 13:19:49Z,N/A,N/A,5,,False,True,5,diodes,diodes,N/A,N/A,False
Integral that gives one or minus one,4644766,N/A,N/A,N/A,2023-02-23 06:22:22Z,N/A,N/A,2,,False,True,5,calculus,integration,definite-integrals,improper-integrals,False
Table not appearing in LaTex document,676232,N/A,N/A,N/A,2023-02-23 08:41:39Z,N/A,N/A,3,,False,True,5,tables,tables,N/A,N/A,False
Did Edith Wilson influence the passage of the 19th Amendment?,71037,MCW,1401,31.6k,2023-02-21 12:14:14Z,N/A,N/A,2,,False,True,5,united-states,political-history,us-constitution,edith-wilson,False
What's the solution to Sorites paradox?,97209,Mauro ALLEGRANZA,4752,35.3k,2023-02-21 09:52:23Z,N/A,N/A,9,,False,True,5,philosophy-of-language,paradox,philosophy-of-language,paradox,False
Is it possible to drive from Europe to Thailand?,179531,Peter Mortensen,1866,323,2023-02-22 07:20:07Z,N/A,N/A,7,,False,True,5,borders,road-trips,asia,countries,False
Santizing a vacuum cleaner by sucking up disinfectant,267519,Rohit Gupta,43802,1535,2023-02-23 07:22:33Z,N/A,N/A,2,,False,True,5,cleaning,mold,vacuum-cleaner,cleaning,False
How can I create a new command that has italic text based on \caption command?,676245,Ugurcan,258456,155,2023-02-23 10:44:27Z,N/A,N/A,1,,False,True,5,tables,fonts,graphics,tables,False
Realism and idealism,97290,Starckman,57267,612,2023-02-23 05:43:46Z,N/A,N/A,1,,False,True,5,idealism,realism,idealism,realism,False
"In what way do ""Pennsylvanians have a constitutional right to clean air and pure water""? State constitution or federal? Which article?",78393,uhoh,16047,13.7k,2023-02-23 00:32:27Z,N/A,N/A,2,,False,True,5,united-states,law,constitution,attorney-general,False
Short story of a man missing his opportunity to escape his unhappy life on earth,272446,Dosco Jones,22431,11.1k,2023-02-23 04:47:21Z,N/A,N/A,1,,False,True,5,story-identification,short-stories,story-identification,short-stories,False
Why does magnetic force only act on moving charges?,751358,Qmechanic,2451,182k,2023-02-22 12:32:23Z,N/A,N/A,6,,False,True,5,electromagnetism,magnetic-fields,charge,velocity,False
How much slower was the 286 in protected mode?,26498,rwallace,4274,54.1k,2023-02-22 16:49:11Z,N/A,N/A,1,,False,True,5,performance,80286,protected-mode,real-mode,False
What's the correct way to do pair programming?,444098,candied_orange,131624,96.7k,2023-02-22 20:10:10Z,N/A,N/A,3,,False,True,5,coding-style,teamwork,pair-programming,coding-style,False
Baal's advocate - plausible deniability for failed theophany,242409,Arash Howaida,32966,8589,2023-02-22 05:08:57Z,N/A,N/A,5,,False,True,5,science-based,religion,archaeology,science-based,False
Can we call rusting of iron a combustion reaction?,751515,Qmechanic,2451,182k,2023-02-23 11:49:15Z,N/A,N/A,1,,False,True,5,homework-and-exercises,physical-chemistry,electrochemistry,combustion,False
Simplify with equals; can't move terms from one side to another,280425,Hugh,12558,15.4k,2023-02-23 11:12:06Z,N/A,N/A,3,,False,True,5,simplifying-expressions,simplifying-expressions,N/A,N/A,False
Why were the lies of George Santos discovered only after the elections?,78368,Machavity,12027,42.2k,2023-02-22 04:39:17Z,N/A,N/A,4,,False,True,5,united-states,scandal,united-states,scandal,False
Can a U.S. President's doctor refuse to answer medical-related questions asked by a Congressional committee?,89590,phoog,333,29.5k,2023-02-23 00:05:44Z,N/A,N/A,3,,False,True,5,united-states,privacy,constitutional-law,health,False
New wheels: WTB KOM Tough with 32 spokes sufficient?,87731,PristineAsp,68633,41,2023-02-23 10:28:57Z,N/A,N/A,1,,False,True,5,wheels,hub,rims,spokes,False
What did Windows 2 do about varying aspect ratio?,26496,rwallace,4274,54.1k,2023-02-22 11:27:46Z,N/A,N/A,2,,False,True,5,history,display,windows,gui,False
Weapons for a Monster Vulnerable to Fire and Light,242444,jdunlop,36850,26k,2023-02-23 01:34:51Z,N/A,N/A,7,,False,True,5,science-fiction,weapons,science-fiction,weapons,False
Python script for Metropolis Monte Carlo (global optimisation),10463,Nike Dattani,5,30.5k,2023-02-23 17:08:17Z,N/A,N/A,2,,False,True,5,python,monte-carlo,python,monte-carlo,False
How to generate uniform distributed samples with given auto-correlation function,606259,N/A,N/A,N/A,2023-02-23 08:19:11Z,N/A,N/A,5,,False,True,5,time-series,sampling,autocorrelation,uniform-distribution,False
A Fine sequence with fine interpretations,258110,Parcly Taxel,110698,2001,2023-02-22 00:06:16Z,N/A,N/A,13,,False,True,5,sequence,code-golf,code-golf,sequence,False
What is the motivation for legally forcing sellers to determine the minimum price of food by multiplying it by 1.1?,89519,Michael Seifert,5104,6150,2023-02-22 15:15:07Z,N/A,N/A,4,,False,True,5,france,food,france,food,False
Could the US passport indicate any nationality other than USA?,179558,N/A,N/A,N/A,2023-02-22 17:36:47Z,N/A,N/A,4,,False,True,5,usa,passports,us-citizens,usa,False
"""How do you [do something]?"" but asking about the listener's case specifically",333305,ColleenV,9161,11.8k,2023-02-23 18:31:52Z,N/A,N/A,1,,False,True,5,phrase-request,ambiguity,phrase-request,ambiguity,False
To what extent does China need the SWIFT system?,78394,ohwilleke,9801,63.1k,2023-02-23 17:23:38Z,N/A,N/A,2,,False,True,5,china,international,sanctions,banking,False
"If ""in-"" forms antonyms, why is ""invaluable"" not the opposite of ""valuable""?",603723,user3840170,363191,173,2023-02-22 21:10:15Z,N/A,N/A,1,,False,True,5,etymology,prefixes,etymology,prefixes,False
Why assert for null on a object before asserting on some of it's internals?,444109,Glorfindel,173647,3117,2023-02-23 12:01:12Z,N/A,N/A,4,,False,True,5,c#,unit-testing,null,assertions,False
"In what way do ""Pennsylvanians have a constitutional right to clean air and pure water""? State constitution or federal? Which article?",78393,uhoh,16047,13.7k,2023-02-23 00:32:27Z,N/A,N/A,2,,False,True,5,united-states,law,constitution,attorney-general,False
What's the correct way to do pair programming?,444098,candied_orange,131624,96.7k,2023-02-22 20:10:10Z,N/A,N/A,3,,False,True,5,coding-style,teamwork,pair-programming,coding-style,False
"Is it possible to talk with ""a staff""?",333247,kuwabara,144676,948,2023-02-22 06:38:31Z,N/A,N/A,6,,False,True,5,word-usage,word-usage,N/A,N/A,False
Can I delete blk*.dat files?,117330,josie,139612,481,2023-02-23 18:30:32Z,N/A,N/A,1,,False,True,5,bitcoin-core,blockchain,pruning,bitcoin-core,False
How can we stop ListDensityPlot to show results outside data range when using InterpolationOrder -> 0?,280420,valar morghulis,26937,3943,2023-02-23 09:22:29Z,N/A,N/A,2,,False,True,5,plotting,graphics,data,plotting,False
Is an attorney allowed to turn on their client?,89525,N/A,N/A,N/A,2023-02-21 15:11:36Z,N/A,N/A,5,,False,True,5,united-states,criminal-law,lawyer,attorney-client-privilege,False
Use of the term 'professor' in the UK,193683,Buffy,75368,303k,2023-02-22 12:52:48Z,N/A,N/A,5,,False,True,5,united-kingdom,titles,united-kingdom,titles,False
"Is it okay to link relevant research, instead of citing them, in a two page only research statement?",193711,Science Man,6259,2956,2023-02-23 10:32:38Z,N/A,N/A,1,,False,True,5,mathematics,job-search,job,latex,False
Are congressional investigations ever more than political theater? How often does one actually lead to actionable results?,78374,Peter Mortensen,368,311,2023-02-21 21:18:29Z,N/A,N/A,3,,False,True,5,united-states,congress,united-states,congress,False
Simplify with equals; can't move terms from one side to another,280425,Hugh,12558,15.4k,2023-02-23 11:12:06Z,N/A,N/A,3,,False,True,5,simplifying-expressions,simplifying-expressions,N/A,N/A,False
Is the larger package better for SMD capacitors?,655099,ocrdu,238706,8162,2023-02-22 18:50:23Z,N/A,N/A,5,,False,True,5,capacitor,surface-mount,packages,capacitor,False
"Stepwise binary logistic regression, Forward or Backward?",606316,kjetil b halvorsen,11887,70.4k,2023-02-23 02:02:30Z,N/A,N/A,2,,False,True,5,r,regression,logistic,stepwise-regression,False
How to generate uniform distributed samples with given auto-correlation function,606259,N/A,N/A,N/A,2023-02-23 08:19:11Z,N/A,N/A,5,,False,True,5,time-series,sampling,autocorrelation,uniform-distribution,False
Is an attorney allowed to turn on their client?,89525,N/A,N/A,N/A,2023-02-21 15:11:36Z,N/A,N/A,5,,False,True,5,united-states,criminal-law,lawyer,attorney-client-privilege,False
Why assert for null on a object before asserting on some of it's internals?,444109,Glorfindel,173647,3117,2023-02-23 12:01:12Z,N/A,N/A,4,,False,True,5,c#,unit-testing,null,assertions,False
How to handle Passive Perception and Passive Insight when both scores are so high it takes all the fun away?,204851,Thomas Markov,62294,131k,2023-02-23 12:55:47Z,N/A,N/A,4,,False,True,5,dnd-5e,skills,dnd-5e,skills,False
Why did only 31 engines ignite during Starship's static fire?,61898,Camille Goudeseune,1235,11.2k,2023-02-23 16:55:53Z,N/A,N/A,4,,False,True,5,rockets,spacex-starship,failure,spacex-super-heavy,False
What's the solution to Sorites paradox?,97209,Mauro ALLEGRANZA,4752,35.3k,2023-02-21 09:52:23Z,N/A,N/A,9,,False,True,5,philosophy-of-language,paradox,philosophy-of-language,paradox,False
"Futuristic novel where war is unconstitutional and people have limbs amputated but replaced by powerful prosthetics, triskelion logo from 60s",272436,DavidW,101407,102k,2023-02-23 01:07:20Z,N/A,N/A,1,,False,True,5,story-identification,novel,story-identification,novel,False
"What is the origin of ""in the zone"" or what ""zone"" is this about?",603765,Crissy Froth-Seapickle,471602,235,2023-02-23 07:00:47Z,N/A,N/A,1,,False,True,5,idioms,phrase-origin,idioms,phrase-origin,False
Use of the term 'professor' in the UK,193683,Buffy,75368,303k,2023-02-22 12:52:48Z,N/A,N/A,5,,False,True,5,united-kingdom,titles,united-kingdom,titles,False
Is it possible to drive from Europe to Thailand?,179531,Peter Mortensen,1866,323,2023-02-22 07:20:07Z,N/A,N/A,7,,False,True,5,borders,road-trips,asia,countries,False
Why is the price of Berkshire Hathaway B class shares proportional to the face value and not the voting rights?,155404,curiousdannii,19607,360,2023-02-23 16:59:03Z,N/A,N/A,4,,False,True,5,stocks,shares,stocks,shares,False
Is it appropriate to ask an interviewing institution to reimburse nonrefundable hotel costs after flight cancellation?,193648,Bryan Krause,63475,84k,2023-02-21 17:03:26Z,N/A,N/A,2,,False,True,5,united-states,job,faculty-application,tenure-track,False
Integral that gives one or minus one,4644766,N/A,N/A,N/A,2023-02-23 06:22:22Z,N/A,N/A,2,,False,True,5,calculus,integration,definite-integrals,improper-integrals,False
Fibonacci Binary Squares,258129,Kip the Malamute,116013,749,2023-02-22 13:43:54Z,N/A,N/A,7,,False,True,5,code-golf,sequence,fibonacci,code-golf,False
Can a U.S. President's doctor refuse to answer medical-related questions asked by a Congressional committee?,89590,phoog,333,29.5k,2023-02-23 00:05:44Z,N/A,N/A,3,,False,True,5,united-states,privacy,constitutional-law,health,False
Python script for Metropolis Monte Carlo (global optimisation),10463,Nike Dattani,5,30.5k,2023-02-23 17:08:17Z,N/A,N/A,2,,False,True,5,python,monte-carlo,python,monte-carlo,False
"If ""in-"" forms antonyms, why is ""invaluable"" not the opposite of ""valuable""?",603723,user3840170,363191,173,2023-02-22 21:10:15Z,N/A,N/A,1,,False,True,5,etymology,prefixes,etymology,prefixes,False
"Are the fires of Mt Doom lava, magma, or something else?",272435,StrongBad,74552,497,2023-02-23 00:42:50Z,N/A,N/A,2,,False,True,5,tolkiens-legendarium,the-lord-of-the-rings,tolkiens-legendarium,the-lord-of-the-rings,False
Elevator movement order,258137,Dominic van Essen,95126,29.1k,2023-02-23 10:37:55Z,N/A,N/A,10,,False,True,5,code-golf,code-golf,code-golf,N/A,False
Why did the United States drop a uranium bomb instead of a plutonium bomb on Hiroshima?,71047,N/A,N/A,N/A,2023-02-23 18:49:05Z,N/A,N/A,1,,False,True,5,world-war-two,nuclear-weapons,hiroshima,world-war-two,False
What is the motivation for legally forcing sellers to determine the minimum price of food by multiplying it by 1.1?,89519,Michael Seifert,5104,6150,2023-02-22 15:15:07Z,N/A,N/A,4,,False,True,5,france,food,france,food,False
Could the US passport indicate any nationality other than USA?,179558,N/A,N/A,N/A,2023-02-22 17:36:47Z,N/A,N/A,4,,False,True,5,usa,passports,us-citizens,usa,False
"How do I help my player, play a cool character?",204828,N/A,N/A,N/A,2023-02-22 17:49:13Z,N/A,N/A,7,,False,True,5,roleplaying,roleplaying,N/A,N/A,False
Are congressional investigations ever more than political theater? How often does one actually lead to actionable results?,78374,Peter Mortensen,368,311,2023-02-21 21:18:29Z,N/A,N/A,3,,False,True,5,united-states,congress,united-states,congress,False
How can I align the model to the axes?,286948,Maxim_R,155262,33,2023-02-23 04:44:13Z,N/A,N/A,4,,False,True,5,mesh,modifiers,mesh,modifiers,False
Santizing a vacuum cleaner by sucking up disinfectant,267519,Rohit Gupta,43802,1535,2023-02-23 07:22:33Z,N/A,N/A,2,,False,True,5,cleaning,mold,vacuum-cleaner,cleaning,False
Table not appearing in LaTex document,676232,N/A,N/A,N/A,2023-02-23 08:41:39Z,N/A,N/A,3,,False,True,5,tables,tables,N/A,N/A,False
